year,status,jumlah
1996,berlaku,1
2010,berlaku,1
2015,berlaku,1
2018,berlaku,2
2019,berlaku,3
2020,berlaku,1
2021,tidak_berlaku,1
2022,berlaku,2
2023,berlaku,1
