date,ikk_expectation,ikk_present,ikk_gap
2001-04-01,71.88132137031,56.0268292682927,15.854492102017304
2001-05-01,73.5438825448614,54.5048780487805,19.039004496080906
2001-06-01,74.5218597063622,54.3146341463415,20.20722556002071
2001-07-01,79.3139477977162,54.0292682926829,25.284679505033296
2001-08-01,130.657748776509,67.6317073170732,63.02604145943582
2001-09-01,124.887683523654,75.4317073170732,49.4559762065808
2001-10-01,101.514029363785,69.0585365853658,32.4554927784192
2001-11-01,88.8981239804242,63.3512195121951,25.5469044682291
2001-12-01,92.8100326264274,66.0146341463415,26.795398480085893
2002-01-01,79.8029363784666,60.5926829268293,19.2102534516373
2002-02-01,73.8372756933116,53.7439024390244,20.093373254287194
2002-03-01,82.9324632952692,60.1170731707317,22.8153901245375
2002-04-01,83.2258564437194,58.690243902439,24.535612541280393
2002-05-01,81.4654975530179,60.6878048780488,20.777692674969096
2002-06-01,91.5386623164764,61.2585365853658,30.2801257311106
2002-07-01,91.8320554649266,64.7780487804878,27.054006684438804
2002-08-01,86.2575856443719,64.2073170731707,22.0502685712012
2002-09-01,87.8223491027733,65.1585365853658,22.663812517407507
2002-10-01,83.8126427406199,62.9707317073171,20.841911033302807
2002-11-01,79.5095432300163,60.5926829268293,18.916860303187008
2002-12-01,81.8566884176183,60.8780487804878,20.9786396371305
2003-01-01,62.8839314845025,49.4634146341463,13.4205168503562
2003-02-01,71.97911908646,52.7926829268293,19.186436159630702
2003-03-01,73.5438825448614,53.2682926829268,20.275589861934606
2003-04-01,78.0425774877651,60.9731707317073,17.069406756057802
2003-05-01,85.9641924959217,65.4439024390244,20.520290056897295
2003-06-01,86.4531810766721,62.9707317073171,23.482449369354995
2003-07-01,90.1694942903752,68.0121951219512,22.157299168424004
2003-08-01,83.3236541598695,64.1121951219512,19.211459037918303
2003-09-01,86.4531810766721,67.5365853658537,18.9165957108184
2003-10-01,88.0179445350734,68.2975609756097,19.7203835594637
2003-11-01,90.0716965742251,68.4878048780488,21.583891696176295
2003-12-01,90.1694942903752,70.1048780487805,20.064616241594692
2004-01-01,89.2893148450245,70.8658536585366,18.423461186487913
2004-02-01,90.6584828711256,70.7707317073171,19.887751163808502
2004-03-01,91.147471451876,68.1073170731707,23.040154378705296
2004-04-01,105.621533442088,69.7243902439024,35.89714319818559
2004-05-01,106.012724306688,70.9609756097561,35.051748696931895
2004-06-01,107.77308319739,70.8658536585366,36.9072295388534
2004-07-01,115.401305057096,75.0512195121951,40.35008554490089
2004-08-01,113.836541598695,76.5731707317073,37.263370866987714
2004-09-01,117.552854812398,77.1439024390244,40.408952373373594
2004-10-01,136.427814029364,84.5634146341463,51.86439939521769
2004-11-01,140.241924959217,92.5536585365854,47.688266422631585
2004-12-01,133.298287112561,96.8341463414634,36.46414077109762
2005-01-01,119.7044045677,87.3219512195122,32.382453348187795
2005-02-01,117.259461663948,85.8951219512195,31.36433971272851
2005-03-01,101.514029363785,75.9073170731707,25.606712290614297
2005-04-01,99.460277324633,71.4365853658537,28.023691958779295
2005-05-01,108.45766721044,80.1878048780488,28.2698623323912
2005-06-01,113.640946166395,82.9463414634146,30.6946047029804
2005-07-01,108.751060358891,82.3756097560976,26.375450602793393
2005-08-01,111.978384991843,80.6634146341463,31.314970357696694
2005-09-01,99.558075040783,74.480487804878,25.077587235905
2005-10-01,87.4311582381729,61.2585365853658,26.172621652807095
2005-11-01,89.876101141925,65.4439024390244,24.432198702900607
2005-12-01,98.9712887438826,68.3926829268293,30.5786058170533
2006-01-01,100.340456769984,70.6756097560975,29.6648470138865
2006-02-01,93.1034257748777,71.3414634146341,21.7619623602436
2006-03-01,101.025040783034,74.5756097560976,26.449431026936395
2006-04-01,100.438254486134,69.5341463414634,30.9041081446706
2006-05-01,99.9492659053834,70.4853658536585,29.463900051724906
2006-06-01,103.078792822186,73.0536585365854,30.0251342856006
2006-07-01,108.555464926591,76.0024390243902,32.5530259022008
2006-08-01,105.425938009788,74.5756097560976,30.850328253690392
2006-09-01,108.06647634584,77.809756097561,30.256720248278995
2006-10-01,111.391598694943,78.2853658536585,33.106232841284495
2006-11-01,114.814518760196,81.519512195122,33.29500656507399
2006-12-01,111.684991843393,79.9024390243902,31.782552819002788
2007-01-01,106.892903752039,76.0975609756097,30.795342776429308
2007-02-01,103.274388254486,75.4317073170732,27.842680937412794
2007-03-01,102.785399673736,77.6195121951219,25.165887478614096
2007-04-01,104.056769983687,80.7585365853659,23.298233398321102
2007-05-01,106.990701468189,83.4219512195122,23.568750248676807
2007-06-01,104.252365415987,80.7585365853659,23.493828830621098
2007-07-01,104.839151712887,81.3292682926829,23.509883420204105
2007-08-01,107.186296900489,82.280487804878,24.90580909561099
2007-09-01,105.719331158238,81.1390243902439,24.580306767994102
2007-10-01,109.729037520392,83.9926829268293,25.736354593562695
2007-11-01,109.533442088091,86.0853658536585,23.44807623443249
2007-12-01,104.839151712887,86.4658536585366,18.3732980543504
2008-01-01,100.731647634584,81.8048780487805,18.9267695858035
2008-02-01,99.9492659053834,78.4756097560976,21.4736561492858
2008-03-01,96.8197389885808,76.8585365853658,19.961202403214998
2008-04-01,92.0276508972268,75.6219512195122,16.40569967771461
2008-05-01,84.1060358890702,74.9560975609756,9.149938328094592
2008-06-01,83.3236541598695,69.3439024390244,13.979751720845101
2008-07-01,89.2893148450245,69.3439024390244,19.945412406000102
2008-08-01,95.6461663947798,76.8585365853658,18.787629809414
2008-09-01,100.927243066884,79.6170731707317,21.310169896152303
2008-10-01,101.416231647635,81.6146341463414,19.8015975012936
2008-11-01,106.306117455139,79.9024390243902,26.403678430748798
2008-12-01,100.633849918434,74.5756097560976,26.05824016233639
2009-01-01,103.567781402936,75.8121951219512,27.7555862809848
2009-02-01,107.57748776509,78.6658536585366,28.911634106553393
2009-03-01,108.555464926591,81.9951219512195,26.560342975371498
2009-04-01,114.227732463295,83.8975609756098,30.330171487685192
2009-05-01,118.237438825449,86.5609756097561,31.676463215692905
2009-06-01,120.975774877651,89.890243902439,31.08553097521201
2009-07-01,129.386378466558,93.790243902439,35.596134564119
2009-08-01,125.376672104405,95.5975609756097,29.779111128795307
2009-09-01,122.344942903752,91.8878048780488,30.457138025703202
2009-10-01,120.486786296901,92.0780487804878,28.408737516413197
2009-11-01,121.562561174551,92.9341463414634,28.628414833087604
2009-12-01,118.041843393148,91.9829268292683,26.058916563879706
2010-01-01,119.9,93.6,26.30000000000001
2010-02-01,113.6,90.0,23.599999999999994
2010-03-01,113.5,90.2,23.299999999999997
2010-04-01,117.2,94.1,23.10000000000001
2010-05-01,116.8,95.7,21.099999999999994
2010-06-01,115.7,93.9,21.799999999999997
2010-07-01,109.9,88.1,21.80000000000001
2010-08-01,110.4,85.8,24.60000000000001
2010-09-01,113.5,90.1,23.400000000000006
2010-10-01,117.8,94.6,23.200000000000003
2010-11-01,113.0,91.4,21.599999999999994
2010-12-01,113.9,92.2,21.700000000000003
2011-01-01,117.7,93.4,24.299999999999997
2011-02-01,118.5,94.4,24.099999999999994
2011-03-01,120.1,94.1,26.0
2011-04-01,118.2,95.6,22.60000000000001
2011-05-01,115.9,94.7,21.200000000000003
2011-06-01,119.1,98.9,20.19999999999999
2011-07-01,121.1,102.5,18.599999999999994
2011-08-01,120.3,100.9,19.39999999999999
2011-09-01,124.1,106.0,18.099999999999994
2011-10-01,125.7,106.7,19.0
2011-11-01,124.2,104.4,19.799999999999997
2011-12-01,127.9,105.4,22.5
2012-01-01,127.5,110.9,16.599999999999994
2012-02-01,120.0,103.5,16.5
2012-03-01,112.1,102.4,9.699999999999989
2012-04-01,107.5,97.6,9.900000000000006
2012-05-01,114.3,103.8,10.5
2012-06-01,121.2,107.6,13.600000000000009
2012-07-01,122.0,105.0,17.0
2012-08-01,124.3,107.1,17.200000000000003
2012-09-01,125.3,110.2,15.099999999999994
2012-10-01,127.3,111.8,15.5
2012-11-01,127.2,113.0,14.200000000000003
2012-12-01,122.6,110.2,12.399999999999991
2013-01-01,124.0898708,108.34289557,15.746975230000004
2013-02-01,123.84514919,109.68968515,14.155464039999998
2013-03-01,124.33311241,109.29390521,15.039207199999993
2013-04-01,121.1652815,105.58306293,15.582218570000009
2013-05-01,117.1703526,108.35561803,8.814734569999999
2013-06-01,122.02843873,112.08069923,9.947739500000012
2013-07-01,111.41601328,105.77537361,5.640639669999999
2013-08-01,110.82136977,104.81708828,6.004281490000011
2013-09-01,108.55433808,105.74023959,2.814098489999992
2013-10-01,113.73968009,105.30058581,8.439094279999992
2013-11-01,121.40658838,107.23339803,14.173190349999999
2013-12-01,121.28005458,111.62262464,9.65742994
2014-01-01,122.41784476,110.92019296,11.4976518
2014-02-01,120.65704416,111.66747866,8.989565499999998
2014-03-01,123.88507191,112.46860065,11.416471259999994
2014-04-01,118.89571229,108.86023553,10.035476760000009
2014-05-01,121.5285042,112.23629105,9.292213149999995
2014-06-01,121.39865236,111.11259337,10.28605899
2014-07-01,125.74301629,113.88984673,11.853169559999998
2014-08-01,124.7753215,115.61740746,9.157914040000009
2014-09-01,123.73723323,115.82805175,7.909181480000001
2014-10-01,128.01051277,113.26691029,14.743602479999993
2014-11-01,126.05229933,114.07067436,11.981624969999999
2014-12-01,122.79013394,110.21444483,12.575689109999999
2015-01-01,130.680738,109.71258113,20.968156869999987
2015-02-01,130.16154482,110.30494904,19.856595779999992
2015-03-01,126.20889753,107.51056866,18.698328869999997
2015-04-01,115.94886603,98.92766214,17.02120389000001
2015-05-01,122.93927982,102.63608844,20.30319138
2015-06-01,122.37244002,100.30273907,22.069700949999998
2015-07-01,120.93801567,98.84500141,22.093014260000004
2015-08-01,124.03102607,101.23987627,22.7911498
2015-09-01,107.15297104,87.81015842,19.342812620000004
2015-10-01,111.22392018,87.45004331,23.773876869999995
2015-11-01,114.75868226,92.58967327,22.169008989999995
2015-12-01,121.0474191,93.99445249,27.05296661
2016-01-01,125.39309005,99.85968121,25.533408839999993
2016-02-01,121.27023757,98.69212499,22.57811258000001
2016-03-01,123.09950236,96.58602588,26.51347648000001
2016-04-01,123.22174064,94.73808678,28.48365385999999
2016-05-01,127.6699361,96.47681876,31.19311734
2016-06-01,127.56301347,99.85272837,27.710285100000007
2016-07-01,127.1336751,101.19922919,25.934445910000008
2016-08-01,129.46371816,97.22723332,32.23648484000002
2016-09-01,123.97030443,96.01088207,27.959422360000005
2016-10-01,130.42513027,103.22353587,27.201594400000005
2016-11-01,128.9758388,102.78033723,26.19550156999999
2016-12-01,127.96398352,102.86742189,25.096561629999997
2017-01-01,126.43236586,104.22705783,22.205308029999998
2017-02-01,129.05670925,105.22165015,23.83505910000001
2017-03-01,134.39467654,108.67999976,25.714676780000005
2017-04-01,135.3613453,112.05201541,23.309329890000015
2017-05-01,136.89239142,114.96672735,21.925664069999996
2017-06-01,131.00546808,113.69638425,17.30908383000002
2017-07-01,133.56876518,113.21512949,20.35363569000002
2017-08-01,133.15643053,110.61222488,22.544205649999995
2017-09-01,137.2178993,110.2923632,26.925536100000002
2017-10-01,133.79395421,107.60657648,26.18737773000001
2017-11-01,134.78814581,109.51180084,25.276344969999997
2017-12-01,137.62720252,115.08687328,22.54032923999999
2018-01-01,137.39526306,114.7997006,22.595562459999996
2018-02-01,132.84056801,112.16734337,20.67322464
2018-03-01,132.9786198,110.23058848,22.748031319999996
2018-04-01,134.27227989,110.18160229,24.090677599999992
2018-05-01,134.14104357,116.1399741,18.00106946999999
2018-06-01,135.41274502,120.78936838,14.62337663999999
2018-07-01,134.73753805,114.95611419,19.781423860000018
2018-08-01,133.90534477,109.23701746,24.668327309999995
2018-09-01,134.53626383,110.24475141,24.29151241999999
2018-10-01,132.24106885,106.16459122,26.07647763
2018-11-01,136.37294241,109.08222844,27.290713970000013
2018-12-01,142.10143251,111.93044642,30.17098609
2019-01-01,140.58007707,110.34221772,30.237859349999994
2019-02-01,140.86482413,109.36741356,31.497410569999985
2019-03-01,140.1666501,108.91923886,31.247411240000005
2019-04-01,144.81367027,111.40509268,33.40857758999999
2019-05-01,142.86325712,113.4685226,29.394734519999986
2019-06-01,138.05651962,114.71070121,23.345818409999993
2019-07-01,138.35584892,111.18095647,27.17489245
2019-08-01,136.01027566,110.26912989,25.74114576999999
2019-09-01,136.18493042,107.48920729,28.695723130000005
2019-10-01,132.04998683,104.75022363,27.2997632
2019-11-01,139.14921365,109.27161784,29.877595810000003
2019-12-01,139.64973246,113.09330894,26.556423519999996
2020-01-01,133.74159719,109.60550342,24.136093769999988
2020-02-01,129.84390323,105.46075518,24.38314804999999
2020-03-01,124.25753028,103.29645861,20.961071669999995
2020-04-01,106.84628434,62.81415518,44.03212916
2020-05-01,104.85958054,50.74696911,54.112611429999994
2020-06-01,121.79866617,45.75294306,76.04572311000001
2020-07-01,121.71855523,50.66335847,71.05519676
2020-08-01,118.19950325,55.59983152,62.599671730000004
2020-09-01,112.57928445,54.1356888,58.443595650000006
2020-10-01,106.5726857,51.46356767,55.10911802999999
2020-11-01,123.91013335,60.14208713,63.768046219999995
2020-12-01,124.3494416,68.64302856,55.70641304
2021-01-01,106.66692858,63.04161696,43.625311620000005
2021-02-01,106.50359837,65.14584829,41.35775008
2021-03-01,114.12231915,72.61895712,41.50336202999999
2021-04-01,122.61124271,80.34679874,42.26444397
2021-05-01,122.05505201,86.80997798,35.24507403
2021-06-01,124.40862232,90.30781264,34.10080968000001
2021-07-01,93.24536075,67.14945771,26.09590304000001
2021-08-01,95.26062114,59.36573508,35.89488606
2021-09-01,118.21102251,72.71966628,45.49135623000001
2021-10-01,134.92606114,91.84463482,43.081426320000006
2021-11-01,137.82841721,99.2348459,38.59357131
2021-12-01,136.80340005,99.87610264,36.927297409999994
2022-01-01,138.27070473,100.938139,37.33256573
