tahun,kamar,total_perkara,dikabulkan,ditolak,tolak_perbaikan,tidak_diterima,dicabut,reversal_rate_pct,clearance_rate_pct,pct_putus_under_3bulan,sumber
2023,Perdata,4801,554,3705,527,3,12,11.54,98.73,99.71,Laporan Tahunan MA 2023
2024,Semua Kamar,31138,,,,,,,99.26,,Laporan Tahunan MA 2024 (agregat)
