year,status,jumlah
1958,berlaku,1
1967,berlaku,1
1970,berlaku,1
1970,tidak_berlaku,1
1976,tidak_berlaku,1
1977,tidak_berlaku,1
1984,berlaku,1
1986,berlaku,1
1990,berlaku,1
1994,berlaku,1
1995,tidak_berlaku,1
1996,berlaku,1
1997,berlaku,1
1998,berlaku,2
1999,berlaku,1
1999,tidak_berlaku,2
2000,berlaku,1
2000,tidak_berlaku,2
2004,berlaku,1
2005,berlaku,1
2007,berlaku,1
2009,berlaku,1
2011,berlaku,2
2011,tidak_berlaku,1
2012,berlaku,2
2013,berlaku,1
2015,berlaku,1
2016,berlaku,3
2016,tidak_berlaku,2
2017,berlaku,5
2018,berlaku,3
2019,berlaku,1
2021,berlaku,2
2022,berlaku,1
2023,berlaku,2
2024,berlaku,3
2025,berlaku,6
