id,frbr_uri,title,number,year,status,content_verified,type,issuing_body,source,search_score,snippet
12.0,/akn/id/act/uu/2016/11,Undang-Undang Nomor 11 Tahun 2016 tentang Pengampunan Pajak,11,2016,berlaku,True,UU,,list_by_year,,
1828.0,/akn/id/act/uu/2016/13,Undang-Undang Nomor 13 Tahun 2016 tentang Paten,13,2016,berlaku,False,UU,,list_by_year,,
1845.0,/akn/id/act/uu/2016/15,Undang-Undang Nomor 15 Tahun 2016 tentang Pengesahan Maritime Labour Convention 2006 Konvensi Ketenagakerjaan Maritim 2006,15,2016,berlaku,True,UU,,list_by_year,,
1864.0,/akn/id/act/uu/2016/20,Undang-Undang Nomor 20 Tahun 2016 tentang Merek dan Indikasi Geografis,20,2016,berlaku,False,UU,,list_by_year,,
,/akn/id/act/peraturan-ojk/2015/28-pojk-03-2015,"Peraturan Badan Nomor 28-pojk-03-2015 Tahun 2015 tentang Pembubaran, Likuidasi, Dan Kepailitan Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, Dan Perusahaan Reasuransi Syariah",28-pojk-03-2015,2015,berlaku,,PERBAN,,search:kepailitan,0.0759909,"pojk-03-2015 Tahun 2015 Peraturan Badan Nomor 28-pojk-03-2015 Tahun 2015 tentang Pembubaran, Likuidasi, Dan <b>Kepailitan</b> Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, Dan Perusahaan Reasuransi Syariah Pembubaran, Likuidasi, Dan <b>Kepailitan</b> Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan"
,/akn/id/act/permenkeu/2015/232-pmk-06-2015,Peraturan Menteri Nomor 232-pmk-06-2015 Tahun 2015 tentang PELAKSANAAN PENGALIHAN INVESTASI PEMERINTAH DALAM PUSAT INVESTASI PEMERINTAH MENJADI PENYERTAAN MODAL NEGARA PADA PERUSAHAAN PERSEROAN PERSERO PT SARANA MULTI INFRASTRUKTUR,232-pmk-06-2015,2015,berlaku,,PERMEN,,search:investasi,0.0865452,Tahun 2015 Peraturan Menteri Nomor 232-pmk-06-2015 Tahun 2015 tentang PELAKSANAAN PENGALIHAN <b>INVESTASI</b> PEMERINTAH DALAM PUSAT <b>INVESTASI</b> PEMERINTAH MENJADI PENYERTAAN MODAL NEGARA PADA PERUSAHAAN PERSEROAN PERSERO PT SARANA MULTI INFRASTRUKTUR PELAKSANAAN PENGALIHAN <b>INVESTASI</b> PEMERINTAH DALAM PUSAT <b>INVESTASI</b> PEMERINTAH
,/akn/id/act/permen-lhk/2015/p-9-menlhk-ii-2015,"Peraturan Menteri Nomor p-9-menlhk-ii-2015 Tahun 2015 tentang TATA CARA PEMBERIAN, PERLUASAN AREAL KERJA DAN PERPANJANGAN IZIN USAHA PEMANFAATAN HASIL HUTAN KAYU DALAM HUTAN ALAM, IZIN USAHA PEMANFAATAN HASIL HUTAN KAYU RESTORASI EKOSISTEM ATAU IZIN USAHA PEMANFAATAN HASIL HUTAN KAYU HUTAN TANAMAN INDUSTRI PADA HUTAN PRODUKSI",p-9-menlhk-ii-2015,2015,berlaku,,PERMEN,,search:perizinan,0.0906656,"Peraturan Menteri Nomor p-9-menlhk-ii-2015 Tahun 2015 tentang TATA CARA PEMBERIAN, PERLUASAN AREAL KERJA DAN PERPANJANGAN <b>IZIN</b> USAHA PEMANFAATAN HASIL HUTAN KAYU DALAM HUTAN ALAM, <b>IZIN</b> USAHA PEMANFAATAN HASIL HUTAN KAYU RESTORASI EKOSISTEM ATAU <b>IZIN</b> USAHA PEMANFAATAN ... HASIL HUTAN KAYU HUTAN TANAMAN INDUSTRI PADA HUTAN PRODUKSI TATA CARA PEMBERIAN, PERLUASAN AREAL KERJA DAN PERPANJANGAN <b>IZIN</b> USAHA PEMANFAATAN HASIL HUTAN KAYU DALAM HUTAN ALAM, <b>IZIN</b> USAHA PEMANFAATAN HASIL HUTAN KAYU RESTORASI EKOSISTEM ATAU <b>IZIN</b> USAHA PEMANFAATAN HASIL HUTAN"
,/akn/id/act/perpres/2015/142,Peraturan Presiden Nomor 142 Tahun 2015 tentang Tunjangan Kinerja Pegawai di Lingkungan Kementerian Ketenagakerjaan,142,2015,berlaku,,PERPRES,,search:ketenagakerjaan,0.0759909,Presiden Nomor No 142 Tahun 2015 Peraturan Presiden Nomor 142 Tahun 2015 tentang Tunjangan Kinerja Pegawai di Lingkungan Kementerian <b>Ketenagakerjaan</b> TUNJANGAN KINERJA PEGAWAI DI LINGKUNGAN KEMENTERIAN <b>KETENAGAKERJAAN</b>
,/akn/id/act/perpres/2015/51,Peraturan Presiden Nomor 51 Tahun 2015 tentang Pengesahan Agreement On Dispute Settlement Mechanism Under The Framework Agreement On Comprehensive Economic Cooperation Between The Association of Southeast Asian Nations and The Republic of India (persetujuan Tentang Mekanisme Penyelesaian Sengketa Berdasarkan Persetujuan Kerangka Kerja Mengenai Kerja Sama Ekonomi Menyeluruh Antara Asosiasi Bangsa-bangsa Asia Tenggara dan Republik India),51,2015,berlaku,,PERPRES,,search:arbitrase,0.72,"LAMPIRAN 1 — Lampiran Peraturan dan Proses Beracara Majelis Arbitrase wajib • Lampiran, halaman 36-65"
,/akn/id/act/permenkeu/2014/14-pmk-01-2014,"Peraturan Menteri Nomor 14-pmk-01-2014 Tahun 2014 tentang PERUBAHAN ATAS PERATURAN MENTERI KEUANGAN NOMOR 168/PMK.01/2011 TENTANG PENGADAAN BARANG DAN JASA, ARBITER, PENGANGGARAN DAN PEMBIAYAAN TERKAIT PENANGANAN PERMOHONAN ARBITRASE RAFAT ALI RIZVI DI INTERNATIONAL CENTRE FOR SETTLEMENT OF INVESTMENT DISPUTES (ICSID) DAN HESHAM AL WARRAQ DI BAWAH ORGANISASI KONFERENSI ISLAM (OKI)",14-pmk-01-2014,2014,berlaku,,PERMEN,,search:arbitrase,0.0759909,"PERUBAHAN ATAS PERATURAN MENTERI KEUANGAN NOMOR 168/PMK.01/2011 TENTANG PENGADAAN BARANG DAN JASA, ARBITER, PENGANGGARAN DAN PEMBIAYAAN TERKAIT PENANGANAN PERMOHONAN <b>ARBITRASE</b> RAFAT ALI RIZVI DI INTERNATIONAL CENTRE FOR SETTLEMENT OF INVESTMENT DISPUTES (ICSID) DAN HESHAM AL WARRAQ DI BAWAH ORGANISASI KONFERENSI ... PERUBAHAN ATAS PERATURAN MENTERI KEUANGAN NOMOR 168/PMK.01/2011 TENTANG PENGADAAN BARANG DAN JASA, ARBITER, PENGANGGARAN DAN PEMBIAYAAN TERKAIT PENANGANAN PERMOHONAN <b>ARBITRASE</b> RAFAT ALI RIZVI DI INTERNATIONAL CENTRE FOR SETTLEMENT OF INVESTMENT DISPUTES (ICSID) DAN HESHAM AL WARRAQ DI BAWAH ORGANISASI KONFERENSI"
